Datetime,Clear Sky Surface Shortwave Downward Irradiance,All Sky Surface Shortwave Downward Irradiance,Temperature at 2 Meters (C),Wind Speed at 10 Meters (m/s),Relative Humidity at 2 Meters (%),Hour,Month,DayOfYear,Hour_Sin,Hour_Cos,Month_Sin,Month_Cos,Cloud_Effect,Lag_24h,Lag_48h,Rolling_Mean_24h,Fitted_SARIMAX,Residuals,Scaled_Residuals
2024-11-19 19:00:00,0.0,0.0,0.21136254212806926,0.26796657381615596,0.8205686301183512,19,11,324,-0.9659258262890684,0.2588190451025203,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,191.9833333333333,-3.1493290481525307,3.1493290481525307,0.5471008736141815
2024-11-19 20:00:00,0.0,0.0,0.20028887818969665,0.2590529247910863,0.823833492041899,20,11,324,-0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,191.9833333333333,-2.1844477441753902,2.1844477441753902,0.5451126605842699
2024-11-19 21:00:00,0.0,0.0,0.19162253249879624,0.24902506963788298,0.8266902462250032,21,11,324,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,191.9833333333333,-2.12741181919721,2.12741181919721,0.5449951336213706
2024-11-19 22:00:00,0.0,0.0,0.18391911410688488,0.24178272980501392,0.8295470004081078,22,11,324,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,191.9833333333333,-2.299766485690025,2.299766485690025,0.545350283827178
2024-11-19 23:00:00,0.0,0.0,0.1776600866634569,0.23788300835654594,0.8315875391103251,23,11,324,-0.2588190451025215,0.965925826289068,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,191.9833333333333,-2.3496837265969077,2.3496837265969077,0.5454531421874542
2024-11-20 00:00:00,0.0,0.0,0.17188252286952344,0.23621169916434537,0.8333560059855802,0,11,325,0.0,1.0,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,191.9833333333333,-2.599663920571402,2.599663920571402,0.5459682458347436
2024-11-20 01:00:00,0.0,0.0,0.16754935002407312,0.2367688022284122,0.832267718677731,1,11,325,0.2588190451025207,0.9659258262890684,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,191.9833333333333,-2.556556044652755,2.556556044652755,0.5458794187010433
2024-11-20 02:00:00,0.0,0.0,0.16177178623013966,0.2373259052924791,0.8319956468507685,2,11,325,0.4999999999999999,0.8660254037844387,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,191.9833333333333,-2.773128582521114,2.773128582521114,0.546325683272588
2024-11-20 03:00:00,0.0,0.0,0.1564756860857005,0.23175487465181055,0.832403754591212,3,11,325,0.7071067811865475,0.7071067811865476,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,191.9833333333333,-1.8209427030523067,1.8209427030523067,0.5443636301530443
2024-11-20 04:00:00,0.0,0.0,0.15021665864227252,0.2272980501392757,0.8345803292069107,4,11,325,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,191.9833333333333,-2.4156283000166177,2.4156283000166177,0.5455890261138859
2024-11-20 05:00:00,0.0,0.0,0.14588348579682242,0.2250696378830083,0.835804652428241,5,11,325,0.9659258262890684,0.2588190451025207,-0.5000000000000004,0.8660254037844384,0.0,0.0,2.5,191.9833333333333,-2.1919995589924106,2.1919995589924106,0.5451282216865079
2024-11-20 06:00:00,0.11760307839540633,98.78,0.17910447761194048,0.22618384401114203,0.8173037681948034,6,11,325,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384,19.19,78.45,75.43,192.83041666666668,92.77456467159486,6.005435328405142,0.5529861029142044
2024-11-20 07:00:00,0.3249860435441423,252.3,0.2522869523350987,0.2735376044568245,0.7373146510678819,7,11,325,0.9659258262890684,-0.2588190451025206,-0.5000000000000004,0.8660254037844384,73.69999999999999,200.07,231.1,195.0066666666667,256.1007381043109,-3.8007381043108808,0.5327797192770303
2024-11-20 08:00:00,0.5377422441981019,432.8,0.30091478093403945,0.2986072423398328,0.6781390287035778,8,11,325,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384,106.61999999999996,373.25,400.08,197.48791666666665,419.58714506832587,13.212854931674144,0.5678375520076767
2024-11-20 09:00:00,0.7039736023606348,603.55,0.33702455464612424,0.31587743732590523,0.6408651884097402,9,11,325,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384,102.62,529.28,567.72,200.5825,570.444671364493,33.10532863550691,0.6088275424366665
2024-11-20 10:00:00,0.806314299385916,687.62,0.3577274915743861,0.3181058495821726,0.6238606992245952,10,11,325,0.4999999999999999,-0.8660254037844387,-0.5000000000000004,0.8660254037844384,121.21000000000004,633.9,657.5,202.82083333333333,693.6665703090921,-6.04657030909209,0.5281520072111667
2024-11-20 11:00:00,0.8013497886593828,686.1,0.37987481945113133,0.3181058495821726,0.6144742211943953,11,11,325,0.258819045102521,-0.9659258262890682,-0.5000000000000004,0.8660254037844384,117.75,730.03,741.9,200.99041666666668,691.6176489949256,-5.517648994925594,0.5292418907484363
2024-11-20 12:00:00,0.75866297152883,650.28,0.39094848338950416,0.3192200557103063,0.6139300775404708,12,11,325,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,110.75,685.6,688.95,199.51875,644.5612765276607,5.71872347233932,0.5523953108181087
2024-11-20 13:00:00,0.6448381051120504,538.8,0.39046701974000964,0.32033426183844005,0.621956196435859,13,11,325,-0.2588190451025208,-0.9659258262890684,-0.5000000000000004,0.8660254037844384,108.05000000000008,613.42,595.3,196.40958333333333,563.0370101546004,-24.237010154600398,0.49066919002775955
2024-11-20 14:00:00,0.47344285828215965,390.02,0.37602311025517576,0.3119777158774373,0.6347435723030879,14,11,325,-0.4999999999999997,-0.8660254037844388,-0.5000000000000004,0.8660254037844384,84.90000000000003,455.5,422.7,193.68125,389.5912439207464,0.4287560792535601,0.541494921251653
2024-11-20 15:00:00,0.26517266129675415,206.6,0.3485796822339914,0.294150417827298,0.657053462113998,15,11,325,-0.7071067811865471,-0.7071067811865479,-0.5000000000000004,0.8660254037844384,59.400000000000006,248.57,216.52,191.9325,216.78407049904638,-10.184070499046385,0.5196263660208762
2024-11-20 16:00:00,0.06604394289815775,52.92,0.3023591718825228,0.2501392757660167,0.7264317779893892,16,11,325,-0.8660254037844384,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,13.329999999999998,59.53,53.4,191.65708333333336,40.10936498179653,12.81063501820347,0.5670087465685455
2024-11-20 17:00:00,0.0,0.0,0.23158401540683682,0.20445682451253477,0.8212488096857571,17,11,325,-0.9659258262890684,-0.2588190451025206,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,191.65708333333336,-1.2213895625956148,1.2213895625956148,0.5431282042399637
2024-11-20 18:00:00,0.0,0.0,0.20414058738565244,0.20389972144846794,0.8386614066113454,18,11,325,-1.0,-1.8369701987210294e-16,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,191.65708333333336,-4.124985889426872,4.124985889426872,0.549111290477425
2024-11-20 19:00:00,0.0,0.0,0.18777082330284067,0.19999999999999996,0.8453271663719222,19,11,325,-0.9659258262890684,0.2588190451025203,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,191.65708333333336,-1.7580278535835276,1.7580278535835276,0.5442339892086369
2024-11-20 20:00:00,0.0,0.0,0.1733269138180068,0.1972144846796657,0.8513127465650931,20,11,325,-0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,191.65708333333336,-2.9836316935251865,2.9836316935251865,0.5467594413176554
2024-11-20 21:00:00,0.0,0.0,0.16321617717862302,0.19777158774373255,0.8552577880560468,21,11,325,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,191.65708333333336,-2.6436766501754363,2.6436766501754363,0.5460589374898932
2024-11-20 22:00:00,0.0,0.0,0.15262397688974494,0.20055710306406682,0.8616514759896612,22,11,325,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,191.65708333333336,-3.314966566953693,3.314966566953693,0.5474421826143303
2024-11-20 23:00:00,0.0,0.0,0.1415503129513721,0.20445682451253477,0.8694055230580873,23,11,325,-0.2588190451025215,0.965925826289068,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,191.65708333333336,-3.5047234822407596,3.5047234822407596,0.5478331915083098
2024-11-21 00:00:00,0.0,0.0,0.1328839672604719,0.20779944289693592,0.8772956060399946,0,11,326,0.0,1.0,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,191.65708333333336,-3.257233801218959,3.257233801218959,0.5473232197568124
2024-11-21 01:00:00,0.0,0.0,0.12566201251805487,0.21281337047353757,0.8821928989253163,1,11,326,0.2588190451025207,0.9659258262890684,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,191.65708333333336,-3.4858589030595866,3.4858589030595866,0.5477943195745525
2024-11-21 02:00:00,0.0,0.0,0.12132883967260477,0.22395543175487462,0.8813766834444294,2,11,326,0.4999999999999999,0.8660254037844387,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,191.65708333333336,-3.787023871386058,3.787023871386058,0.5484148934334422
2024-11-21 03:00:00,0.0,0.0,0.1198844487241214,0.23899721448467962,0.8781118215208814,3,11,326,0.7071067811865475,0.7071067811865476,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,191.65708333333336,-4.125778984965002,4.125778984965002,0.5491129247125132
2024-11-21 04:00:00,0.0,0.0,0.11603273952816562,0.24623955431754874,0.8789280370017685,4,11,326,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,191.65708333333336,-3.6271405365983256,3.6271405365983256,0.548085441377339
